Date,JP,UK,US,Euro,Pac
9/28/1984, 0.1935 , 0.0717 , 0.5898 , 0.1027 , 0.0423 
10/31/1984, 0.1944 , 0.0712 , 0.5901 , 0.1025 , 0.0418 
11/30/1984, 0.2020 , 0.0703 , 0.5861 , 0.1018 , 0.0398 
12/31/1984, 0.2036 , 0.0717 , 0.5832 , 0.0999 , 0.0417 
1/31/1985, 0.2069 , 0.0747 , 0.5808 , 0.0985 , 0.0391 
2/28/1985, 0.1970 , 0.0733 , 0.5896 , 0.1004 , 0.0398 
3/29/1985, 0.1996 , 0.0693 , 0.5955 , 0.0976 , 0.0381 
4/30/1985, 0.2052 , 0.0771 , 0.5764 , 0.1029 , 0.0384 
5/31/1985, 0.1994 , 0.0805 , 0.5751 , 0.1062 , 0.0389 
6/28/1985, 0.1959 , 0.0825 , 0.5775 , 0.1065 , 0.0376 
7/31/1985, 0.2027 , 0.0781 , 0.5728 , 0.1100 , 0.0363 
8/30/1985, 0.2002 , 0.0864 , 0.5601 , 0.1163 , 0.0369 
9/30/1985, 0.2034 , 0.0901 , 0.5494 , 0.1213 , 0.0358 
10/31/1985, 0.2257 , 0.0869 , 0.5231 , 0.1276 , 0.0367 
11/29/1985, 0.2216 , 0.0911 , 0.5167 , 0.1350 , 0.0357 
12/31/1985, 0.2131 , 0.0927 , 0.5225 , 0.1384 , 0.0333 
1/31/1986, 0.2167 , 0.0849 , 0.5203 , 0.1466 , 0.0315 
2/28/1986, 0.2187 , 0.0834 , 0.5133 , 0.1505 , 0.0341 
3/31/1986, 0.2281 , 0.0841 , 0.5027 , 0.1541 , 0.0310 
4/30/1986, 0.2518 , 0.0847 , 0.4833 , 0.1517 , 0.0286 
5/30/1986, 0.2547 , 0.0893 , 0.4612 , 0.1654 , 0.0294 
6/30/1986, 0.2560 , 0.0815 , 0.4827 , 0.1508 , 0.0290 
7/31/1986, 0.2720 , 0.0852 , 0.4665 , 0.1490 , 0.0273 
8/29/1986, 0.3057 , 0.0772 , 0.4373 , 0.1543 , 0.0255 
9/30/1986, 0.3067 , 0.0756 , 0.4309 , 0.1612 , 0.0256 
10/31/1986, 0.3277 , 0.0718 , 0.4131 , 0.1586 , 0.0287 
11/28/1986, 0.2869 , 0.0748 , 0.4453 , 0.1609 , 0.0322 
12/31/1986, 0.2944 , 0.0748 , 0.4362 , 0.1642 , 0.0304 
1/30/1987, 0.3114 , 0.0778 , 0.4148 , 0.1641 , 0.0320 
2/27/1987, 0.3238 , 0.0776 , 0.4196 , 0.1491 , 0.0299 
3/31/1987, 0.3195 , 0.0847 , 0.4192 , 0.1443 , 0.0324 
4/30/1987, 0.3345 , 0.0836 , 0.4063 , 0.1431 , 0.0325 
5/29/1987, 0.3656 , 0.0847 , 0.3799 , 0.1385 , 0.0313 
6/30/1987, 0.3664 , 0.0902 , 0.3786 , 0.1323 , 0.0326 
7/31/1987, 0.3387 , 0.0940 , 0.3975 , 0.1363 , 0.0335 
8/31/1987, 0.3208 , 0.0946 , 0.4071 , 0.1406 , 0.0369 
9/30/1987, 0.3412 , 0.0876 , 0.3979 , 0.1366 , 0.0367 
10/30/1987, 0.3354 , 0.0946 , 0.3959 , 0.1355 , 0.0387 
11/30/1987, 0.3745 , 0.0894 , 0.3741 , 0.1345 , 0.0275 
12/31/1987, 0.4048 , 0.0887 , 0.3545 , 0.1235 , 0.0284 
1/29/1988, 0.3965 , 0.0943 , 0.3592 , 0.1204 , 0.0297 
2/29/1988, 0.4062 , 0.0916 , 0.3642 , 0.1099 , 0.0281 
3/31/1988, 0.4146 , 0.0863 , 0.3583 , 0.1144 , 0.0263 
4/29/1988, 0.4348 , 0.0884 , 0.3352 , 0.1128 , 0.0287 
5/31/1988, 0.4345 , 0.0900 , 0.3340 , 0.1133 , 0.0282 
6/30/1988, 0.4255 , 0.0890 , 0.3400 , 0.1137 , 0.0317 
7/29/1988, 0.4104 , 0.0861 , 0.3560 , 0.1153 , 0.0321 
8/31/1988, 0.4219 , 0.0853 , 0.3465 , 0.1137 , 0.0326 
9/30/1988, 0.4128 , 0.0836 , 0.3548 , 0.1157 , 0.0329 
10/31/1988, 0.4137 , 0.0841 , 0.3534 , 0.1182 , 0.0307 
11/30/1988, 0.4204 , 0.0851 , 0.3392 , 0.1246 , 0.0307 
12/30/1988, 0.4443 , 0.0828 , 0.3215 , 0.1217 , 0.0297 
1/31/1989, 0.4445 , 0.0809 , 0.3222 , 0.1230 , 0.0294 
2/28/1989, 0.4320 , 0.0871 , 0.3315 , 0.1181 , 0.0312 
3/31/1989, 0.4443 , 0.0853 , 0.3230 , 0.1181 , 0.0293 
4/28/1989, 0.4324 , 0.0863 , 0.3312 , 0.1200 , 0.0301 
5/31/1989, 0.4238 , 0.0849 , 0.3382 , 0.1229 , 0.0302 
6/30/1989, 0.4136 , 0.0803 , 0.3563 , 0.1207 , 0.0291 
7/31/1989, 0.3997 , 0.0821 , 0.3605 , 0.1299 , 0.0278 
8/31/1989, 0.4066 , 0.0857 , 0.3518 , 0.1281 , 0.0278 
9/29/1989, 0.3882 , 0.0857 , 0.3649 , 0.1314 , 0.0298 
10/31/1989, 0.4035 , 0.0818 , 0.3514 , 0.1331 , 0.0301 
11/30/1989, 0.4057 , 0.0776 , 0.3562 , 0.1302 , 0.0302 
12/29/1989, 0.4121 , 0.0791 , 0.3465 , 0.1333 , 0.0290 
1/31/1990, 0.3995 , 0.0849 , 0.3423 , 0.1440 , 0.0293 
2/28/1990, 0.3943 , 0.0896 , 0.3338 , 0.1510 , 0.0312 
3/30/1990, 0.3702 , 0.0910 , 0.3527 , 0.1546 , 0.0314 
4/30/1990, 0.3193 , 0.0944 , 0.3816 , 0.1717 , 0.0330 
5/31/1990, 0.3306 , 0.0888 , 0.3749 , 0.1745 , 0.0312 
6/29/1990, 0.3410 , 0.0916 , 0.3730 , 0.1640 , 0.0304 
7/31/1990, 0.3302 , 0.0980 , 0.3711 , 0.1688 , 0.0319 
8/31/1990, 0.3232 , 0.1013 , 0.3673 , 0.1747 , 0.0334 
9/28/1990, 0.3220 , 0.1056 , 0.3676 , 0.1702 , 0.0345 
10/31/1990, 0.3014 , 0.1073 , 0.3912 , 0.1649 , 0.0351 
11/30/1990, 0.3427 , 0.1060 , 0.3546 , 0.1654 , 0.0313 
12/31/1990, 0.3071 , 0.1135 , 0.3825 , 0.1654 , 0.0315 
1/31/1991, 0.3145 , 0.1110 , 0.3841 , 0.1599 , 0.0306 
2/28/1991, 0.3127 , 0.1110 , 0.3862 , 0.1589 , 0.0312 
3/29/1991, 0.3225 , 0.1099 , 0.3768 , 0.1596 , 0.0312 
4/30/1991, 0.3114 , 0.1078 , 0.3964 , 0.1514 , 0.0329 
5/31/1991, 0.3181 , 0.1054 , 0.3918 , 0.1507 , 0.0339 
6/28/1991, 0.3092 , 0.1036 , 0.3993 , 0.1544 , 0.0336 
7/31/1991, 0.3065 , 0.1013 , 0.4065 , 0.1498 , 0.0359 
8/30/1991, 0.3014 , 0.1086 , 0.4046 , 0.1490 , 0.0364 
9/30/1991, 0.2857 , 0.1126 , 0.4137 , 0.1517 , 0.0362 
10/31/1991, 0.3026 , 0.1130 , 0.3966 , 0.1520 , 0.0358 
11/29/1991, 0.3106 , 0.1081 , 0.3970 , 0.1477 , 0.0367 
12/31/1991, 0.3022 , 0.1071 , 0.3979 , 0.1543 , 0.0384 
1/31/1992, 0.2906 , 0.1081 , 0.4100 , 0.1550 , 0.0363 
2/28/1992, 0.2823 , 0.1093 , 0.4117 , 0.1591 , 0.0377 
3/31/1992, 0.2623 , 0.1110 , 0.4225 , 0.1647 , 0.0396 
4/30/1992, 0.2467 , 0.1104 , 0.4354 , 0.1696 , 0.0379 
5/29/1992, 0.2276 , 0.1224 , 0.4411 , 0.1697 , 0.0392 
6/30/1992, 0.2359 , 0.1238 , 0.4250 , 0.1747 , 0.0406 
7/31/1992, 0.2209 , 0.1230 , 0.4316 , 0.1831 , 0.0414 
8/31/1992, 0.2175 , 0.1179 , 0.4471 , 0.1768 , 0.0407 
9/30/1992, 0.2504 , 0.1130 , 0.4262 , 0.1729 , 0.0375 
10/30/1992, 0.2464 , 0.1137 , 0.4313 , 0.1718 , 0.0369 
11/30/1992, 0.2418 , 0.1074 , 0.4464 , 0.1654 , 0.0390 
12/31/1992, 0.2437 , 0.1064 , 0.4505 , 0.1620 , 0.0375 
1/29/1993, 0.2367 , 0.1074 , 0.4489 , 0.1625 , 0.0445 
2/26/1993, 0.2342 , 0.1074 , 0.4481 , 0.1656 , 0.0447 
3/31/1993, 0.2386 , 0.1023 , 0.4446 , 0.1674 , 0.0471 
4/30/1993, 0.2572 , 0.1039 , 0.4293 , 0.1643 , 0.0453 
5/31/1993, 0.2898 , 0.1022 , 0.4023 , 0.1616 , 0.0440 
6/30/1993, 0.2882 , 0.0998 , 0.3987 , 0.1587 , 0.0546 
7/30/1993, 0.2861 , 0.0997 , 0.4022 , 0.1588 , 0.0533 
8/31/1993, 0.2985 , 0.0975 , 0.3926 , 0.1571 , 0.0543 
9/30/1993, 0.2913 , 0.0995 , 0.3871 , 0.1664 , 0.0557 
10/29/1993, 0.2830 , 0.1003 , 0.3887 , 0.1701 , 0.0578 
11/30/1993, 0.2739 , 0.1012 , 0.3854 , 0.1739 , 0.0656 
12/31/1993, 0.2412 , 0.1074 , 0.4048 , 0.1770 , 0.0695 
1/31/1994, 0.2368 , 0.1098 , 0.3911 , 0.1821 , 0.0801 
2/28/1994, 0.2583 , 0.1076 , 0.3809 , 0.1805 , 0.0726 
3/31/1994, 0.2739 , 0.1036 , 0.3744 , 0.1782 , 0.0699 
4/29/1994, 0.2781 , 0.0953 , 0.3888 , 0.1760 , 0.0618 
5/31/1994, 0.2820 , 0.0960 , 0.3815 , 0.1773 , 0.0632 
6/30/1994, 0.2867 , 0.0906 , 0.3847 , 0.1730 , 0.0650 
7/29/1994, 0.3014 , 0.0911 , 0.3729 , 0.1723 , 0.0623 
