Index,JP,UK,US,Euro,Pac,,,,,,
1988-09-30,0.0318248244,0.0029530835,0.0104297034,0.0058933841,9.63114754098361e-06,,3.1821693765,0.2953944201,1.0429400069,0.5894393206,0.0009635364
1988-10-31,0.0210471174,0.0075559555,0.0109176471,0.0114844601,0.0019196859,,2.1047674718,0.7558040729,1.0917017639,1.1482625527,0.191956825
1988-11-30,0.0420780571,-0.0007051143,-0.0048475429,0.0047229333,0.0003625524,,4.2076656646,-0.0705472088,-0.4848217217,0.4721235573,0.0362300791
1988-12-31,-0.0075936488,-0.0017206244,0.005916,0.0037875415,-3.47707317073171e-05,,-0.7594294505,-0.1720358254,0.5916537975,0.3786844349,-0.003473152
1989-01-31,0.006480878,0.010055278,0.0048957659,-0.00018,0.0028510829,,0.648099519,1.0054840559,0.4895966095,-0.0179989336,0.2850196048
1989-02-28,0.0173803219,-0.0002322888,-0.0056305362,0.0016985522,-0.0027428898,,1.7380165596,-0.0232359691,-0.5629553094,0.1698839978,-0.2743535653
1989-03-31,-0.0108328976,0.0017642537,0.0094119024,0.0017859024,0.0005374049,,-1.0833876399,0.1763882889,0.9412247872,0.1785828134,0.0536754787
1989-04-28,0.014128078,0.0012460878,0.0050990049,0.0051629268,0.0008281171,,1.4129392256,0.1246187997,0.5098453949,0.5161934972,0.0827959469
1989-05-31,-0.012222,-0.0046331143,0.0090302667,-0.0020951524,-0.0009779048,,-1.2221629776,-0.4631623096,0.903000021,-0.2095972738,-0.0978020512
1989-06-30,-0.0265067707,0.0001645171,-0.0008782049,0.0091614244,-0.001283239,,-2.6509172309,0.0164474473,-0.087815373,0.9162695791,-0.1282087747
1989-07-31,0.0538248286,0.0104306095,0.033948,0.0081527714,0.002036019,,5.3822687484,1.0432169771,3.394767281,0.8152421624,0.2037202778
1989-08-31,-0.0317304585,-0.0038962146,0.0060220878,0.0006373756,0.0008353561,,-3.1731077958,-0.3897340114,0.6022386296,0.0637147454,0.0835280666
1989-09-29,0.038870019,-0.0001714,0.0011096476,0.0032286857,0.0011976762,,3.8868286199,-0.0171436484,0.110968289,0.3228996717,0.1196906778
1989-10-31,-0.0089679493,-0.0088975712,-0.0055692542,-0.0051343461,-0.0005389847,,-0.8966462955,-0.8901769197,-0.5569302685,-0.5134583342,-0.0539630813
1989-11-30,0.0127159539,0.0043607963,0.006153748,0.0077135346,0.0008600629,,1.2715882789,0.4360705166,0.6154160673,0.7713890838,0.0859433518
1989-12-31,0.0051459805,0.0081337951,0.0048472683,0.0162951122,0.001708878,,0.514606552,0.8129320242,0.4846447657,1.6299516296,0.1711529349
1990-01-31,-0.0153992195,0.0002733366,-0.0215926244,0.0014891707,0.0005031024,,-1.5400059147,0.0273226071,-2.1591818998,0.1489465111,0.0502906621
1990-02-28,-0.0359989099,-0.0029122912,0.0017858986,-0.0003171317,-0.0016381638,,-3.5996484547,-0.2912101637,0.1785979134,-0.0317168037,-0.1638609254
1990-03-30,-0.0600865225,-0.0007714068,0.0115851605,0.009295571,-0.0006280598,,-6.0080528456,-0.077152976,1.1584829877,0.9296197777,-0.0628540587
1990-04-30,0.00611165,-0.00278388,-0.00257544,-0.00079812,-0.001848,,0.6111626589,-0.2781031552,-0.2575854335,-0.0798269486,-0.1845541085
1990-05-31,0.0628466526,0.0058281684,0.0327680211,0.0060799474,0.0028244211,,6.2847710978,0.5823418434,3.2763533922,0.6081325657,0.2826801977
1990-06-29,-0.0075712,0.00615552,0.0048276,0.0041984,0.00099104,,-0.7571704857,0.6153396136,0.4828021383,0.4197745646,0.0991151333
1990-07-31,0.0054412571,0.0039573333,0.0016074,0.0057513143,0.0014430952,,0.5441330476,0.395770812,0.160760704,0.5750448795,0.1442192521
1990-08-31,-0.0446785027,-0.007873207,-0.0251680351,-0.0281864844,-0.0016956091,,-4.467389481,-0.7874038852,-2.5168254948,-2.8190009934,-0.1695594182
1990-09-28,-0.0569216922,-0.0096739274,-0.0120432043,-0.0241143114,-0.0026153615,,-5.6921372345,-0.9674327033,-1.2042234607,-2.4113430124,-0.2617432781
1990-10-31,0.1188651576,0.0109090253,0.0038873256,0.0077068104,-0.0004691872,,11.8858657305,1.0912394139,0.3886852634,0.7707335345,-0.0469401842
1990-11-30,-0.06211199,0.0057134,0.01853748,0.00086008,-2.504e-05,,-6.2108916562,0.5715201594,1.8538465433,0.0859998681,-0.0025030415
1990-12-31,0.0047263317,2.21463414634146e-05,0.00933,-0.0010972878,-0.0003872195,,0.4725850729,0.0022155776,0.9328824925,-0.1097461115,-0.0387289356
1991-01-31,0.0001213052,0.0021872988,0.0120612623,0.0061458004,0.0019910448,,0.0121307063,0.2186828793,1.2064303975,0.6144898037,0.198864665
1991-02-28,0.0741249463,0.0139372683,0.0184594732,0.0167271317,0.0027882146,,7.4123167572,1.393967529,1.8456902681,1.6728632861,0.2789984797
1991-03-29,-0.02540025,-0.00776993,0.00778644,-0.01064532,0.00130728,,-2.539865252,-0.7767970029,0.7785576499,-1.0647850296,0.130930191
1991-04-30,0.0037484548,-0.0016926293,0.0008678668,-0.0005171917,0.0025950295,,0.3748280531,-0.1692711012,0.0867856053,-0.0517329635,0.2594707014
1991-05-31,-0.0028830079,-0.0009035146,0.009685951,0.0078802076,0.0009669397,,-0.2882907159,-0.0903698912,0.9686030655,0.7881456716,0.0966544947
1991-06-28,-0.0216575942,-0.0045073093,-0.0124194481,-0.0109613039,-0.0012487751,,-2.1659159448,-0.4506476071,-1.2419320805,-1.0961240642,-0.1248638999
1991-07-31,0.0088739048,0.0101685905,0.0161613333,0.0048649333,0.009966,,0.8874830658,1.0166184894,1.6160355991,0.4865332409,0.9966092057
1991-08-30,-0.0188153053,0.0047898316,0.0079505053,0.0018549474,-0.0005599579,,-1.8817729246,0.4788815215,0.7950661602,0.1854334311,-0.0560025232
1991-09-30,0.036601044,0.0053631379,3.30471265489316e-05,0.0037012489,0.0007486389,,3.6602876671,0.5363610071,0.0033043273,0.370256324,0.0748454114
1991-10-31,0.0067658256,-0.0020730256,0.0124352,-0.0014646154,0.0024904,,0.6766887242,-0.2072913889,1.2434465031,-0.1464600834,0.2489858041
1991-11-29,-0.0239448655,-0.0104335566,-0.0148105189,-0.0001563044,0.0013290971,,-2.394825947,-1.0432346352,-1.481166127,-0.0156285514,0.1328636195
1991-12-31,0.013090489,0.0198873087,0.0422740774,0.0059769877,0.0030961296,,1.3089978962,1.9884069908,4.2273159684,0.5978652669,0.3096620577
1992-01-31,-0.0046886154,0.0004545744,-0.0052912821,0.0022415385,0.0059133231,,-0.4687872567,0.0454586253,-0.5291947699,0.2241517659,0.5913088144
1992-02-28,-0.0141921108,1.09289071092891e-05,0.0100542546,0.0023862614,0.0073386761,,-1.4191593096,0.0010927438,1.0054570518,0.2386680514,0.7337815791
1992-03-31,-0.0187655834,-0.0070921908,-0.0069705529,-0.0036065693,-0.0002750125,,-1.8765340766,-0.708977554,-0.6971811448,-0.3606387557,-0.0274945891
1992-04-30,-0.00200889,0.01388832,0.00818552,0.0013568,0.00668368,,-0.2009051776,1.389458491,0.8185433438,0.1356511532,0.6682320493
1992-05-29,0.01057518,0.0062424,0.00251427,0.01016503,0.01338424,,1.0576435957,0.6240060659,0.2514349082,1.0166525227,1.3382940243
1992-06-30,-0.01129518,-0.0006809,-0.0090525,-0.00253315,0.0004624,,-1.1294372562,-0.0680980552,-0.9052390022,-0.2533535374,0.0462301768
1992-07-31,-0.00614239,-0.0040467,0.01886092,-0.00606061,-0.00224652,,-0.6142018732,-0.4047845682,1.8859018035,-0.6060888555,-0.2246695692
1992-08-31,0.01725675,0.00354879,-0.01225054,0.00143208,-0.00660647,,1.7258316875,0.3547919242,-1.2251502553,0.1431737209,-0.6607793602
1992-09-30,0.00012032,-0.003503,0.00502916,-0.00887142,-0.00244125,,0.0120298196,-0.3502104473,0.5029104412,-0.8873195169,-0.2441703421
1992-10-30,-0.0087948883,-0.0096275095,0.0062690177,-0.0090668032,0.0075855234,,-0.8795739017,-0.9624790852,0.6269171912,-0.9065928777,0.7586713823
1992-11-30,0.0020612878,0.0007229854,0.0204371512,-0.0016782049,-0.0037480976,,0.2060960146,0.0723120192,2.0436565269,-0.1678416514,-0.3747962291
1992-12-31,-0.0047231502,0.0055322731,0.013822017,0.003177983,-0.0011356061,,-0.47232429,0.5531252948,1.3822378994,0.3178773367,-0.1135231755
1993-01-29,0.0002618,-0.0019332,0.0132089714,0.0097190476,0.0048027619,,0.0261818606,-0.1932466025,1.3209836464,0.9718036091,0.4803305475
1993-02-26,0.00507848,0.0002685,0.01129212,0.00269928,0.01112013,,0.5079941269,0.0268385616,1.1290963255,0.2699296505,1.1124295238
1993-03-31,0.031084,0.0092849429,0.015638781,0.0048466286,0.0027792286,,3.1082586979,0.9287573466,1.5640357562,0.4845728129,0.2778311073
1993-04-30,0.0360408952,0.0024243333,-0.0080796286,0.0034581238,0.0087303429,,3.604093317,0.2423560344,-0.808018024,0.3457803557,0.8731462336
1993-05-31,0.0055209121,0.0003393339,0.0078255726,0.0007757576,0.0076167617,,0.5521075517,0.0339529892,0.7825184894,0.077565262,0.7617258805
1993-06-30,-0.0078782476,-0.0001996,0.0111534,0.0023427143,-0.00216,,-0.7878356912,-0.019951377,1.1154462062,0.2342698578,-0.2159974912
1993-07-30,0.0149565184,0.0035508809,0.0069761356,0.0014517475,0.007904971,,1.4955178625,0.3552627544,0.6976151753,0.1451674848,0.7903539265
1993-08-31,0.0039506341,0.00663,0.0225833951,0.0146831024,0.0045412683,,0.3950011463,0.6628926619,2.2585291085,1.4683732375,0.4541379767
1993-09-30,-0.0097317744,0.0011225641,0.0009925641,-0.0001877333,-0.0019705538,,-0.9729328564,0.1122733315,0.0992610136,-0.0187752857,-0.1970520996
1993-10-29,-0.004410041,0.003280138,0.0080080208,0.0060391539,0.0201477748,,-0.4410086854,0.3279981395,0.8007810362,0.6039707343,2.0147358038
1993-11-30,-0.0315695385,-0.0005189744,-0.0095262974,-0.0046373333,-0.0046289846,,-3.1570809493,-0.0519125128,-0.952674085,-0.4637154683,-0.4627416129
1993-12-31,0.0102555656,0.0101932793,0.0061130913,0.0158253825,0.0269952995,,1.0256241483,1.0190735313,0.6113196095,1.5826542994,2.6994539683
1994-01-31,0.0364410041,0.0067753375,0.0151761976,0.013549595,0.0003722772,,3.6442373329,0.677740054,1.5173343733,1.3550859877,0.0372318114
1994-02-28,0.0115857186,-0.0061876188,-0.0078473247,-0.0042421742,-0.0083992799,,1.1585638609,-0.618891589,-0.7846105545,-0.4242372875,-0.8400954882
1994-03-31,-0.00356031,-0.00516964,-0.01561248,0.00208494,-0.00989667,,-0.3560776631,-0.516875214,-1.5611527159,0.2084599445,-0.989965342
1994-04-29,0.00838803,-0.00061945,0.00365472,0.008272,0.0032832,,0.8387291843,-0.0619733825,0.3655037177,0.8270434097,0.3282570782
1994-05-31,0.0098350244,-0.0039149268,0.0047640976,-0.0057081951,0.0064961561,,0.9833995502,-0.391517568,0.4764010143,-0.5708207884,0.649703805
1994-06-30,0.0148106571,0.0013978286,-0.0070345143,-0.0033940952,-0.0057828571,,1.4811047811,0.139782392,-0.7035240241,-0.3393466718,-0.5782380266
